wallet_id,paid_total,power
0x41964c77329682a5297027642f979f4525b6c922,0.40115,114.67 Mh/s
0x4dc8d0e32a9ae2711bb8c67aa137821b506dae42,7.26791,148.11 Mh/s
0x46187c8220bd4a30d0f9850621cbb8fb5fcb3c2e,0.61037,621.11 Mh/s
0xba04bd8818fc9d75bdfc9f965d69a28778bce27d,0.00000,0.00000
0x214e7c83d6bcc31187f9017a41af76ce74e19a68,0.00000,0.00000
0xbcaea61ba20d576795389224ef03d8691cb638ba,0.00000,0.00000
0x7dd3ae3aa4b1d9439ca3b74c68426eea41e7fa54,1.15709,195.89 Mh/s
0x6caebd3f71b365b9c90efa7b14a89cb06c67576f,356.43151,0.00 h/s
0x8135164bfb233620f99ef23511c919f0910de000,0.15316,602.00 Mh/s
0x055562321c7187993c53f3c90f3c2ca0cd3bf890,0.00000,0.00000
0x960792f140e780cf04078059b60c4c83738f61a4,0.90403,66.89 Mh/s
0x72e5dc88f38092aa611fc9d63a9321d65c8b2eaf,0.00000,0.00000
0xcd95452c7ff64a1dc27e77ad6e01116ff9bffb77,3.73846,176.78 Mh/s
0xcd9a9da5e18b7a715030fbdbf834b27c07e2918c,2.74932,105.11 Mh/s
0xa3f38ab2f963ec9bf76bbfb1fe7eeb6b399147a8,0.85676,172.00 Mh/s
0xc1b0571bb96f5652c6408ab3fcd84b6d6b17f0b2,5.25859,181.56 Mh/s
0x685726e00cd2af3efb9603739c69a251a7b72f3c,0.97955,47.78 Mh/s
0xc8e485d00f07baa1a5702dd5eecb4b94206220a0,0.00000,0.00000
0x9810cddf513f560ef74505c186d202a2031680cf,1.21268,76.44 Mh/s
0x93db459fc9a23a59fbc77afeec2fc5a01acf7305,5.61343,229.33 Mh/s
0xf787d7cae300a55ce5741920e85c6a58321215b8,0.00000,0.00000
0xb6e45c9b21191d25460630aee3fde6073283a6bc,0.00000,0.00000
0xba1223912a89d73a5281066a37bfd40395789d61,10.76761,836.11 Mh/s
0x3e19e73c0269cca9286fb6354ccebccc53548ce4,4.59581,277.11 Mh/s
0x88cbc70c2c8e7e6377918a7f1ab49b18d94c2dca,0.15013,47.78 Mh/s
0xf3332fad770c7f5de57a1504b647f5cf9a79d59b,3.47601,0.00 h/s
0xf6e43a6b51a57bc225c3a7b202dd13859e3340f3,0.30094,76.44 Mh/s
0xf354bf4afdf2d6994b45c3c52973181d47c92568,0.00000,129.00 Mh/s
0x285f9ed0c08b5fcca928eacfface3dc2b7e01af3,10.17714,563.54 Mh/s
0x3a7f1d1b3dbc8639ef30cbd2e7ebbf6a6dabc198,0.45214,195.89 Mh/s
0x5911fec5886c5e011ee1be969e03f79b4fe7e7ba,0.00000,0.00000
0xd2547e1bd8f0a476785b201717eb80ade51744f4,0.75896,320.11 Mh/s
0xe948de82dabe5499b80de715f884ec237c72cd87,0.00000,0.00000
0x1c239f16a686d98399bc1d8324ed6207b689cf89,2.63334,367.89 Mh/s
0x707aa00de65304f1b791c14dacc20a732d6089db,0.45246,176.78 Mh/s
0x0c86e2dab49421f1ab212266ce1f97513c74df23,0.00000,0.00000
0xad3e8a0a9740df5e7cd37c01205ce408dec0415d,9.26471,215.00 Mh/s
0x64844441a0d3a22bc33c80f510903b49ea427dbc,0.00000,52.56 Mh/s
0x56114674ad82d1868d286388d0dfd1e35008318c,0.00000,0.00000
0xb630649529b9d7c7ff3f3aa50d9606d8702693b3,0.00000,0.00000
0x0b289aa101f63ef9d00be7a1f1e17d23a1608c3c,0.00000,0.00000
0x2043f4e05fbe298bc37a3e064b07d7a157b43c92,8.66734,339.22 Mh/s
0xd1b500f2a3756a29ab4990a65bdb964a05feb3bb,0.00000,0.00000
0x31457ea574a5cf5167e30275bb57dc31e52c8305,0.00000,0.00000
0x7ae31b288e52b3c6f7a678e84d0bc76754f9d509,9.16082,253.22 Mh/s
0x1ff9e1818688daf19c673b7e29f6acead7e987a9,0.00000,0.00000
0x54bd573437f4e3abb0563a222ec05196512f5384,0.60113,52.56 Mh/s
0xa08f68470f5e98240094d9316cda169407fc6f87,9.60042,482.56 Mh/s
0x79103ee636b3f5e80fc250547ede50b6f16ffd63,0.00000,0.00000
0x39cf9ca8e04c375a997ec05c7f0f9f4b3d27f197,2.95484,506.44 Mh/s
0x33b319f55bd2382536a3b9ad59ae6c07c1a79fde,0.00000,119.44 Mh/s
0xfb75f780c51f2a23001384fdb2b9c317ecd0247d,6.90121,1.11 Gh/s
0x8b96828e554fb9a72cc99be7898f0b2592050b97,0.15056,9.56 Mh/s
0x809bf9405f4a67114b5535696c3b528e46b9e113,0.00000,0.00000
0xa30c908939351ba00d337d1d5f33b1f8a584c851,5.82524,1.49 Gh/s
0xe0d5973d58523856c0197f7c48d3088101a8b818,0.00000,0.00000
0x8a63e0d0b10befb935c8a624b14b2b324d715d00,7.49983,587.67 Mh/s
0x3c478e45843428deb8b08db5aa431c139338a839,2.06277,124.22 Mh/s
0xfaec0ab02d5e56fcd800f5ad7f4cdcead7589313,0.00000,0.00000
0x405a984f294292ba09a35c740a269bed59cc95cc,2.74333,0.00 h/s
0x49a64deaa9f381f33e2f6e799316e4189246a8c7,0.84080,14.33 Mh/s
0x90a3277b9d39bba4a4b6f2f8d4aaf2f7377e6fd0,0.00000,0.00000
0x11bc4233e44e270f51ddd372471e251552f8b593,0.00000,0.00000
0x434d0bec9cb00476884ae51576ef5dc14b35e86a,6.83947,243.67 Mh/s
0x23600abed759cedca1a4150f2e8b4343c9ac7315,3.34689,181.56 Mh/s
0xad3569b2bc084ce7d55399103ca9d6b0a6771ab0,0.00000,0.00000
0x6c46f1c8b982dd38b92f07319b616e3dd43ffa90,3.44069,100.33 Mh/s
0xb199c4c1b2861e139390daacb865dfda967845b0,4.61297,520.78 Mh/s
0x70fa8e5d2820fb9df80193889a146d77b1ffd613,0.00000,0.00000
0x97f879206bf124b0d2494214214c3568fe728830,0.00000,0.00000
0x9de8f4fd550b408e952ae31a69ff03aa76f662be,0.00000,229.33 Mh/s
0xd4f650f227b988a6dddd77bc82aa53f92d0bcd2c,2.77287,0.00 h/s
